subject activity measurement mean
14 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.26242106612963
15 5.STANDING 1.tbodyaccmeanx 0.278915803962264
15 4.SITTING 1.tbodyaccmeanx 0.27290337979661
15 6.LAYING 1.tbodyaccmeanx 0.2894756525
15 1.WALKING 1.tbodyaccmeanx 0.273899207962963
15 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.280198851190476
15 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.270187595833333
16 5.STANDING 1.tbodyaccmeanx 0.283497402948718
16 4.SITTING 1.tbodyaccmeanx 0.280768574492754
16 6.LAYING 1.tbodyaccmeanx 0.274227162571429
16 1.WALKING 1.tbodyaccmeanx 0.276023564509804
16 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.295586802191489
16 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.255986102627451
17 5.STANDING 1.tbodyaccmeanx 0.277942503333333
17 4.SITTING 1.tbodyaccmeanx 0.2773570196875
17 6.LAYING 1.tbodyaccmeanx 0.269780085577465
17 1.WALKING 1.tbodyaccmeanx 0.272341855245902
17 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.29391828326087
17 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.252604768583333
19 5.STANDING 1.tbodyaccmeanx 0.27817226
19 4.SITTING 1.tbodyaccmeanx 0.273830316164384
19 6.LAYING 1.tbodyaccmeanx 0.272653733493976
19 1.WALKING 1.tbodyaccmeanx 0.273931172307692
19 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.262688053871795
19 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.242118808925
21 5.STANDING 1.tbodyaccmeanx 0.27695224258427
21 4.SITTING 1.tbodyaccmeanx 0.277539616823529
21 6.LAYING 1.tbodyaccmeanx 0.271325472455556
21 1.WALKING 1.tbodyaccmeanx 0.279183526730769
21 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.3014610196
21 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.265194544680851
22 5.STANDING 1.tbodyaccmeanx 0.279053861587302
22 4.SITTING 1.tbodyaccmeanx 0.273583822709677
22 6.LAYING 1.tbodyaccmeanx 0.279959721194444
22 1.WALKING 1.tbodyaccmeanx 0.27886459
22 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.284458963861111
22 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.248391534566667
23 5.STANDING 1.tbodyaccmeanx 0.277899323235294
23 4.SITTING 1.tbodyaccmeanx 0.273351251617647
23 6.LAYING 1.tbodyaccmeanx 0.274038007986111
23 1.WALKING 1.tbodyaccmeanx 0.273211884237288
23 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.289897411148148
23 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.249995171031373
25 5.STANDING 1.tbodyaccmeanx 0.278013701621622
25 4.SITTING 1.tbodyaccmeanx 0.278541482461538
25 6.LAYING 1.tbodyaccmeanx 0.250791828613699
25 1.WALKING 1.tbodyaccmeanx 0.278992759054054
25 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.291329666206897
25 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.277995411384615
26 5.STANDING 1.tbodyaccmeanx 0.281127035405405
26 4.SITTING 1.tbodyaccmeanx 0.258243530166667
26 6.LAYING 1.tbodyaccmeanx 0.271645864540789
26 1.WALKING 1.tbodyaccmeanx 0.279264443728814
26 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.2792845828
26 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.272691394545455
27 5.STANDING 1.tbodyaccmeanx 0.279566921625
27 4.SITTING 1.tbodyaccmeanx 0.273941302571429
27 6.LAYING 1.tbodyaccmeanx 0.274102492432432
27 1.WALKING 1.tbodyaccmeanx 0.276849485438596
27 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.2975441875
27 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.265770253921569
28 5.STANDING 1.tbodyaccmeanx 0.277795069113924
28 4.SITTING 1.tbodyaccmeanx 0.276977629444444
28 6.LAYING 1.tbodyaccmeanx 0.2759134825
28 1.WALKING 1.tbodyaccmeanx 0.281228223888889
28 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.293642076521739
28 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.262005841764706
29 5.STANDING 1.tbodyaccmeanx 0.277965065846154
29 4.SITTING 1.tbodyaccmeanx 0.2771799775
29 6.LAYING 1.tbodyaccmeanx 0.287295196811594
29 1.WALKING 1.tbodyaccmeanx 0.271999916792453
29 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.293140441083333
29 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.265423066877551
30 5.STANDING 1.tbodyaccmeanx 0.277112699152542
30 4.SITTING 1.tbodyaccmeanx 0.268336081379032
30 6.LAYING 1.tbodyaccmeanx 0.281033900571429
30 1.WALKING 1.tbodyaccmeanx 0.276406758
30 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.283190646967742
30 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.271415642261538
2 5.STANDING 1.tbodyaccmeanx 0.277911472222222
2 4.SITTING 1.tbodyaccmeanx 0.27708735173913
2 6.LAYING 1.tbodyaccmeanx 0.281373403958333
2 1.WALKING 1.tbodyaccmeanx 0.276426586440678
2 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.27761534806383
2 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.247164790395833
4 5.STANDING 1.tbodyaccmeanx 0.280499745892857
4 4.SITTING 1.tbodyaccmeanx 0.27153827992
4 6.LAYING 1.tbodyaccmeanx 0.263559214981481
4 1.WALKING 1.tbodyaccmeanx 0.278582015166667
4 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.279965329555556
4 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.270876696730769
9 5.STANDING 1.tbodyaccmeanx 0.282310057333333
9 4.SITTING 1.tbodyaccmeanx 0.24832674354
9 6.LAYING 1.tbodyaccmeanx 0.2591955368
9 1.WALKING 1.tbodyaccmeanx 0.278502842115385
9 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.295923445
9 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.262436475714286
10 5.STANDING 1.tbodyaccmeanx 0.276650300681818
10 4.SITTING 1.tbodyaccmeanx 0.270612056481481
10 6.LAYING 1.tbodyaccmeanx 0.280230574137931
10 1.WALKING 1.tbodyaccmeanx 0.278574076603774
10 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.290401594315789
10 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.267121853404255
12 5.STANDING 1.tbodyaccmeanx 0.277405834918033
12 4.SITTING 1.tbodyaccmeanx 0.275007224901961
12 6.LAYING 1.tbodyaccmeanx 0.260113433
12 1.WALKING 1.tbodyaccmeanx 0.2771286656
12 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.281521097391304
12 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.272970338653846
13 5.STANDING 1.tbodyaccmeanx 0.277758431052632
13 4.SITTING 1.tbodyaccmeanx 0.274328499591837
13 6.LAYING 1.tbodyaccmeanx 0.276716360483871
13 1.WALKING 1.tbodyaccmeanx 0.275883130350877
13 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.294907553404255
13 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.258203939581818
18 5.STANDING 1.tbodyaccmeanx 0.278458805890411
18 4.SITTING 1.tbodyaccmeanx 0.27727001877193
18 6.LAYING 1.tbodyaccmeanx 0.274691576923077
18 1.WALKING 1.tbodyaccmeanx 0.273887758571429
18 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.288439468909091
18 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.265401201896552
20 5.STANDING 1.tbodyaccmeanx 0.278076904657534
20 4.SITTING 1.tbodyaccmeanx 0.278045439090909
20 6.LAYING 1.tbodyaccmeanx 0.239507882205882
20 1.WALKING 1.tbodyaccmeanx 0.272589336470588
20 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.296144421355556
20 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.252098317156863
24 5.STANDING 1.tbodyaccmeanx 0.280348883913043
24 4.SITTING 1.tbodyaccmeanx 0.273475690147059
24 6.LAYING 1.tbodyaccmeanx 0.272850494930556
24 1.WALKING 1.tbodyaccmeanx 0.276980816034483
24 3.WALKING_DOWNSTAIRS 1.tbodyaccmeanx 0.288631208909091
24 2.WALKING_UPSTAIRS 1.tbodyaccmeanx 0.269881106779661
1 5.STANDING 2.tbodyaccmeany -0.0161375901037736
1 4.SITTING 2.tbodyaccmeany -0.00130828765170213
1 6.LAYING 2.tbodyaccmeany -0.0405139534294
1 1.WALKING 2.tbodyaccmeany -0.0173838185273684
1 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.00991850461020408
1 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0239531492643396
3 5.STANDING 2.tbodyaccmeany -0.0143376555065574
3 4.SITTING 2.tbodyaccmeany -0.00350299841730769
3 6.LAYING 2.tbodyaccmeany -0.0189556785048387
3 1.WALKING 2.tbodyaccmeany -0.0171767844203448
3 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0193554079328571
3 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0324109410555932
5 5.STANDING 2.tbodyaccmeany -0.00700418554517857
5 4.SITTING 2.tbodyaccmeany -0.00990083527045455
5 6.LAYING 2.tbodyaccmeany -0.0183042123269231
5 1.WALKING 2.tbodyaccmeany -0.0172850317482679
5 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.00850107533191489
5 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0325269755153191
6 5.STANDING 2.tbodyaccmeany -0.0181236327175439
6 4.SITTING 2.tbodyaccmeany -0.0145911615290909
6 6.LAYING 2.tbodyaccmeany -0.0102529170561404
6 1.WALKING 2.tbodyaccmeany -0.0168954189082456
6 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.019536840063125
6 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0272425385070588
7 5.STANDING 2.tbodyaccmeany -0.0145740341037736
7 4.SITTING 2.tbodyaccmeany -0.01461097580375
7 6.LAYING 2.tbodyaccmeany -0.0204411516884615
7 1.WALKING 2.tbodyaccmeany -0.018653665345614
7 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0166332372978723
7 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0275639005607843
8 5.STANDING 2.tbodyaccmeany -0.0148113067148148
8 4.SITTING 2.tbodyaccmeany -0.00672550621304348
8 6.LAYING 2.tbodyaccmeany -0.0212281733881481
8 1.WALKING 2.tbodyaccmeany -0.0186628865310417
8 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0211058674973684
8 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0282415136341463
11 5.STANDING 2.tbodyaccmeany -0.0171990886595745
11 4.SITTING 2.tbodyaccmeany -0.0149195616754717
11 6.LAYING 2.tbodyaccmeany -0.0176598052315789
11 1.WALKING 2.tbodyaccmeany -0.0166475833623729
11 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0178097721219565
11 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0303157822055556
14 5.STANDING 2.tbodyaccmeany -0.01520781344
14 4.SITTING 2.tbodyaccmeany -0.00870565463888889
14 6.LAYING 2.tbodyaccmeany -0.0113424652490196
14 1.WALKING 2.tbodyaccmeany -0.0217785380966102
14 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0200141413657778
14 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0204388180024074
15 5.STANDING 2.tbodyaccmeany -0.0183516360396226
15 4.SITTING 2.tbodyaccmeany -0.0117188472271186
15 6.LAYING 2.tbodyaccmeany -0.0166296542054167
15 1.WALKING 2.tbodyaccmeany -0.0170809740090741
15 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.00563047804309524
15 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0287523860708333
16 5.STANDING 2.tbodyaccmeany -0.0165999672935897
16 4.SITTING 2.tbodyaccmeany -0.0102497939956522
16 6.LAYING 2.tbodyaccmeany -0.0166103510562857
16 1.WALKING 2.tbodyaccmeany -0.0204286929452941
16 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0183898583787234
16 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0143654945011765
17 5.STANDING 2.tbodyaccmeany -0.0174120064169231
17 4.SITTING 2.tbodyaccmeany -0.014156274084375
17 6.LAYING 2.tbodyaccmeany -0.0168462006729577
17 1.WALKING 2.tbodyaccmeany -0.0184875403339344
17 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0167359404347826
17 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0228645614308333
19 5.STANDING 2.tbodyaccmeany -0.0154244056945205
19 4.SITTING 2.tbodyaccmeany -0.016739260030137
19 6.LAYING 2.tbodyaccmeany -0.0171426864421687
19 1.WALKING 2.tbodyaccmeany -0.0191773587903846
19 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0145942275069487
19 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0303986615775
21 5.STANDING 2.tbodyaccmeany -0.0167084730205618
21 4.SITTING 2.tbodyaccmeany -0.0144009705494118
21 6.LAYING 2.tbodyaccmeany -0.0184233048415556
21 1.WALKING 2.tbodyaccmeany -0.0181610317526923
21 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0173195390157778
21 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0237218695148936
22 5.STANDING 2.tbodyaccmeany -0.0158563207496825
22 4.SITTING 2.tbodyaccmeany -0.0123468446419355
22 6.LAYING 2.tbodyaccmeany -0.0142629864502778
22 1.WALKING 2.tbodyaccmeany -0.0167213607957174
22 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0197999371686389
22 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0268622561133333
23 5.STANDING 2.tbodyaccmeany -0.0177475547867647
23 4.SITTING 2.tbodyaccmeany -0.0133945015676471
23 6.LAYING 2.tbodyaccmeany -0.0216553835833333
23 1.WALKING 2.tbodyaccmeany -0.0183618711932203
23 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0162111457238889
23 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0323844029237255
25 5.STANDING 2.tbodyaccmeany -0.0163569730274324
25 4.SITTING 2.tbodyaccmeany -0.0147696808030769
25 6.LAYING 2.tbodyaccmeany -0.0188943663671233
25 1.WALKING 2.tbodyaccmeany -0.0186477624716216
25 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0210170522987931
25 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0269863524264615
26 5.STANDING 2.tbodyaccmeany -0.0166608306652703
26 4.SITTING 2.tbodyaccmeany -0.00713364541358974
26 6.LAYING 2.tbodyaccmeany -0.0191895728026316
26 1.WALKING 2.tbodyaccmeany -0.0154259586949153
26 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.01262580966778
26 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0281633797398182
27 5.STANDING 2.tbodyaccmeany -0.016593236445
27 4.SITTING 2.tbodyaccmeany -0.0155269799285714
27 6.LAYING 2.tbodyaccmeany -0.0179867611216216
27 1.WALKING 2.tbodyaccmeany -0.0166478783221912
27 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0135564467159091
27 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0200953324078431
28 5.STANDING 2.tbodyaccmeany -0.0172635124672152
28 4.SITTING 2.tbodyaccmeany -0.0185404441258333
28 6.LAYING 2.tbodyaccmeany -0.0167537858225
28 1.WALKING 2.tbodyaccmeany -0.0156759722981481
28 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0220230465913043
28 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0279443943478431
29 5.STANDING 2.tbodyaccmeany -0.0172605869061538
29 4.SITTING 2.tbodyaccmeany -0.016630680375
29 6.LAYING 2.tbodyaccmeany -0.0171965484202899
29 1.WALKING 2.tbodyaccmeany -0.0162915600588679
29 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.01494121505625
29 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0299465312326531
30 5.STANDING 2.tbodyaccmeany -0.0170163887813559
30 4.SITTING 2.tbodyaccmeany -0.00804731295322581
30 6.LAYING 2.tbodyaccmeany -0.0194494098614286
30 1.WALKING 2.tbodyaccmeany -0.0175880385730769
30 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0174383900204839
30 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0253311698786154
2 5.STANDING 2.tbodyaccmeany -0.0184208270166667
2 4.SITTING 2.tbodyaccmeany -0.0156879937282609
2 6.LAYING 2.tbodyaccmeany -0.0181587397583333
2 1.WALKING 2.tbodyaccmeany -0.0185949199145763
2 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0226614158361702
2 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0214121132045833
4 5.STANDING 2.tbodyaccmeany -0.00948911098553571
4 4.SITTING 2.tbodyaccmeany -0.007163065158
4 6.LAYING 2.tbodyaccmeany -0.0150031841055556
4 1.WALKING 2.tbodyaccmeany -0.0148399475341667
4 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.00980200850666667
4 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0319804295729615
9 5.STANDING 2.tbodyaccmeany -0.0200454954022222
9 4.SITTING 2.tbodyaccmeany -0.02701677698
9 6.LAYING 2.tbodyaccmeany -0.020526821662
9 1.WALKING 2.tbodyaccmeany -0.0180891971284423
9 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0203994269075476
9 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0195101099975714
10 5.STANDING 2.tbodyaccmeany -0.0155418603409091
10 4.SITTING 2.tbodyaccmeany -0.015042681852037
10 6.LAYING 2.tbodyaccmeany -0.024294484137931
10 1.WALKING 2.tbodyaccmeany -0.017022351190566
10 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0200050770710526
10 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0143854920340426
12 5.STANDING 2.tbodyaccmeany -0.0169002543196721
12 4.SITTING 2.tbodyaccmeany -0.0157892988523529
12 6.LAYING 2.tbodyaccmeany -0.0175203917146667
12 1.WALKING 2.tbodyaccmeany -0.015560927606
12 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.018084266865793
12 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0263574903403846
13 5.STANDING 2.tbodyaccmeany -0.0167891993964912
13 4.SITTING 2.tbodyaccmeany -0.00587732936326531
13 6.LAYING 2.tbodyaccmeany -0.020440454366129
13 1.WALKING 2.tbodyaccmeany -0.0185660651947368
13 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0143723839108511
13 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0277392253910909
18 5.STANDING 2.tbodyaccmeany -0.0166353518150685
18 4.SITTING 2.tbodyaccmeany -0.0128691279736842
18 6.LAYING 2.tbodyaccmeany -0.0173937684615385
18 1.WALKING 2.tbodyaccmeany -0.0178023631866071
18 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0168666920221818
18 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0222060684378914
20 5.STANDING 2.tbodyaccmeany -0.0180695049161644
20 4.SITTING 2.tbodyaccmeany -0.0147229305131818
20 6.LAYING 2.tbodyaccmeany -0.0144406281132353
20 1.WALKING 2.tbodyaccmeany -0.021199992245098
20 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.00964120773155555
20 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0282258047588235
24 5.STANDING 2.tbodyaccmeany -0.0144785340348986
24 4.SITTING 2.tbodyaccmeany -0.0131255097938235
24 6.LAYING 2.tbodyaccmeany -0.0173555210111111
24 1.WALKING 2.tbodyaccmeany -0.0225446400534483
24 3.WALKING_DOWNSTAIRS 2.tbodyaccmeany -0.0145730348310909
24 2.WALKING_UPSTAIRS 2.tbodyaccmeany -0.0251979434569492
1 5.STANDING 3.tbodyaccmeanz -0.110601817735849
1 4.SITTING 3.tbodyaccmeanz -0.104544182255319
1 6.LAYING 3.tbodyaccmeanz -0.11320355358
1 1.WALKING 3.tbodyaccmeanz -0.111148103547368
1 3.WALKING_DOWNSTAIRS 3.tbodyaccmeanz -0.107566190908163
1 2.WALKING_UPSTAIRS 3.tbodyaccmeanz -0.0973020020943396
3 5.STANDING 3.tbodyaccmeanz -0.101621722633148
3 4.SITTING 3.tbodyaccmeanz -0.0983579203269231
3 6.LAYING 3.tbodyaccmeanz -0.101300477506452
3 1.WALKING 3.tbodyaccmeanz -0.112674859827586
3 3.WALKING_DOWNSTAIRS 3.tbodyaccmeanz -0.116139842908163
3 2.WALKING_UPSTAIRS 3.tbodyaccmeanz -0.110064863437288
5 5.STANDING 3.tbodyaccmeanz -0.102171095696429
5 4.SITTING 3.tbodyaccmeanz -0.108540300265909
5 6.LAYING 3.tbodyaccmeanz -0.107937603673077
5 1.WALKING 3.tbodyaccmeanz -0.107741776464286
5 3.WALKING_DOWNSTAIRS 3.tbodyaccmeanz -0.100319930659574
5 2.WALKING_UPSTAIRS 3.tbodyaccmeanz -0.107471453914894
6 5.STANDING 3.tbodyaccmeanz -0.112172831947368
6 4.SITTING 3.tbodyaccmeanz -0.110127728709091
6 6.LAYING 3.tbodyaccmeanz -0.133119570368421
6 1.WALKING 3.tbodyaccmeanz -0.110303165877193
6 3.WALKING_DOWNSTAIRS 3.tbodyaccmeanz -0.107209356208333
6 2.WALKING_UPSTAIRS 3.tbodyaccmeanz -0.122082438784314
7 5.STANDING 3.tbodyaccmeanz -0.0997778303207547
7 4.SITTING 3.tbodyaccmeanz -0.122464597625
7 6.LAYING 3.tbodyaccmeanz -0.101361036576923
7 1.WALKING 3.tbodyaccmeanz -0.110912234947368
7 3.WALKING_DOWNSTAIRS 3.tbodyaccmeanz -0.096938308587234
7 2.WALKING_UPSTAIRS 3.tbodyaccmeanz -0.143769688803922
8 5.STANDING 3.tbodyaccmeanz -0.106114996837037
8 4.SITTING 3.tbodyaccmeanz -0.104461049130435
8 6.LAYING 3.tbodyaccmeanz -0.102245365611111
8 1.WALKING 3.tbodyaccmeanz -0.107252090833333
8 3.WALKING_DOWNSTAIRS 3.tbodyaccmeanz -0.107598135394737
8 2.WALKING_UPSTAIRS 3.tbodyaccmeanz -0.11512211995122
11 5.STANDING 3.tbodyaccmeanz -0.108686630425532
11 4.SITTING 3.tbodyaccmeanz -0.112840218339623
11 6.LAYING 3.tbodyaccmeanz -0.108786578070175
11 1.WALKING 3.tbodyaccmeanz -0.106096304033898
11 3.WALKING_DOWNSTAIRS 3.tbodyaccmeanz -0.111070149978261
11 2.WALKING_UPSTAIRS 3.tbodyaccmeanz -0.106797216481481
14 5.STANDING 3.tbodyaccmeanz -0.103817701790667
14 4.SITTING 3.tbodyaccmeanz -0.100401490425926
14 6.LAYING 3.tbodyaccmeanz -0.0868333315509804
14 1.WALKING 3.tbodyaccmeanz -0.106756369135593
14 3.WALKING_DOWNSTAIRS 3.tbodyaccmeanz -0.0928330165533333
14 2.WALKING_UPSTAIRS 3.tbodyaccmeanz -0.112279688983333
15 5.STANDING 3.tbodyaccmeanz -0.105910832679245
15 4.SITTING 3.tbodyaccmeanz -0.11366125320339
15 6.LAYING 3.tbodyaccmeanz -0.118530240291667
15 1.WALKING 3.tbodyaccmeanz -0.107621819518519
15 3.WALKING_DOWNSTAIRS 3.tbodyaccmeanz -0.110526066428571
15 2.WALKING_UPSTAIRS 3.tbodyaccmeanz -0.116952464895833
16 5.STANDING 3.tbodyaccmeanz -0.103657729076923
16 4.SITTING 3.tbodyaccmeanz -0.0891404038405797
16 6.LAYING 3.tbodyaccmeanz -0.107310493242857
16 1.WALKING 3.tbodyaccmeanz -0.108804049803922
16 3.WALKING_DOWNSTAIRS 3.tbodyaccmeanz -0.119873705148936
16 2.WALKING_UPSTAIRS 3.tbodyaccmeanz -0.124074517745098
17 5.STANDING 3.tbodyaccmeanz -0.111432145565
